rank,frequency,log(r),log(f)
1,39446,0.0,4.596002970384389
2,22541,0.3010299956639812,4.352973179005932
3,21481,0.47712125471966244,4.332054495108195
4,20005,0.6020599913279624,4.301138555715016
5,19763,0.6989700043360189,4.295852870643949
6,18278,0.7781512503836436,4.261928672990642
7,8105,0.8450980400142568,3.908753019184534
8,8066,0.9030899869919435,3.9066582176716
9,7674,0.9542425094393249,3.8850217948622974
10,6892,1.0,3.8383452687759907
11,6146,1.0413926851582251,3.7885925559203595
12,5980,1.0791812460476249,3.776701183988411
13,5717,1.1139433523068367,3.7571681922142726
14,4740,1.146128035678238,3.6757783416740852
15,4739,1.1760912590556813,3.675686708699401
16,4550,1.2041199826559248,3.6580113966571126
17,4531,1.2304489213782739,3.656194062179186
18,4035,1.255272505103306,3.6058435390580894
19,3837,1.2787536009528289,3.5839917991983166
20,3432,1.3010299956639813,3.535547279176668
21,3397,1.3222192947339193,3.531095546870028
22,3373,1.3424226808222062,3.5280163411892014
23,3373,1.3617278360175928,3.5280163411892014
24,3304,1.380211241711606,3.5190400386483445
25,3240,1.3979400086720377,3.510545010206612
26,2995,1.414973347970818,3.4763968267253302
27,2946,1.4313637641589874,3.469232742506612
28,2596,1.4471580313422192,3.4143046881283317
29,2589,1.462397997898956,3.413132050434872
30,2531,1.4771212547196624,3.4032921451582543
31,2498,1.4913616938342726,3.3975924340381165
32,2322,1.505149978319906,3.365862215402555
33,2280,1.5185139398778875,3.357934847000454
34,2173,1.5314789170422551,3.3370597263205246
35,2158,1.5440680443502757,3.334051440346892
36,2157,1.5563025007672873,3.333850145102545
37,2075,1.568201724066995,3.3170181010481117
38,2037,1.5797835966168101,3.3089910290001643
39,1983,1.591064607026499,3.2973227142053028
40,1966,1.6020599913279623,3.2935835134961167
41,1854,1.6127838567197355,3.2681097298084785
42,1667,1.6232492903979006,3.2219355998280053
43,1657,1.6334684555795864,3.219322508419337
44,1642,1.6434526764861874,3.215373152783422
45,1637,1.6532125137753437,3.2140486794119414
46,1599,1.662757831681574,3.2038484637462346
47,1587,1.6720978579357175,3.2005769267548483
48,1581,1.6812412373755872,3.198931869932209
49,1578,1.6901960800285136,3.1981069988734014
50,1531,1.6989700043360187,3.184975190698261
51,1483,1.7075701760979363,3.1711411510283822
52,1454,1.7160033436347992,3.162564406523019
53,1429,1.724275869600789,3.1550322287909704
54,1415,1.7323937598229686,3.150756439860309
55,1413,1.7403626894942439,3.1501421618485588
56,1409,1.7481880270062005,3.1489109931093564
57,1405,1.7558748556724915,3.1476763242410986
58,1378,1.7634279935629373,3.139249217571607
59,1361,1.7708520116421442,3.133858125203335
60,1335,1.7781512503836436,3.125481265700594
61,1260,1.7853298350107671,3.100370545117563
62,1252,1.792391689498254,3.097604328874411
63,1236,1.7993405494535817,3.092018470752797
64,1205,1.806179973983887,3.080987046910887
65,1170,1.8129133566428555,3.0681858617461617
66,1159,1.8195439355418688,3.064083435963596
67,1157,1.8260748027008264,3.0633333589517497
68,1139,1.8325089127062364,3.0565237240791006
69,1138,1.8388490907372552,3.056142262059052
70,1125,1.845098040014257,3.0511525224473814
71,1124,1.8512583487190752,3.0507663112330423
72,1069,1.8573324964312685,3.028977705208778
73,1047,1.863322860120456,3.0199466816788423
74,1029,1.8692317197309762,3.012415374762433
75,1016,1.8750612633917,3.0068937079479006
76,987,1.8808135922807914,2.9943171526696366
77,972,1.8864907251724818,2.9876662649262746
78,967,1.8920946026904804,2.9854264740830017
79,949,1.8976270912904414,2.977266212427293
80,941,1.9030899869919435,2.973589623427257
81,930,1.9084850188786497,2.9684829485539352
82,928,1.9138138523837167,2.967547976218862
83,924,1.919078092376074,2.9656719712201065
84,919,1.9242792860618816,2.9633155113861114
85,918,1.9294189257142926,2.9628426812012423
86,900,1.9344984512435677,2.9542425094393248
87,870,1.9395192526186185,2.9395192526186187
88,850,1.9444826721501687,2.929418925714293
89,832,1.9493900066449128,2.920123326290724
90,820,1.954242509439325,2.9138138523837167
91,804,1.9590413923210936,2.905256048748451
92,798,1.9637878273455553,2.9020028913507296
93,796,1.968482948553935,2.900913067737669
94,786,1.9731278535996986,2.895422546039408
95,770,1.9777236052888478,2.886490725172482
96,757,1.9822712330395684,2.8790958795000727
97,756,1.9867717342662448,2.8785217955012063
98,756,1.9912260756924949,2.8785217955012063
99,729,1.99563519459755,2.8627275283179747
100,721,2.0,2.857935264719429
101,719,2.0043213737826426,2.8567288903828825
102,716,2.0086001717619175,2.8549130223078554
103,715,2.012837224705172,2.8543060418010806
104,713,2.0170333392987803,2.8530895298518657
105,708,2.0211892990699383,2.850033257689769
106,701,2.0253058652647704,2.8457180179666586
107,677,2.0293837776852097,2.8305886686851442
108,672,2.03342375548695,2.8273692730538253
109,649,2.037426497940624,2.812244696800369
110,648,2.041392685158225,2.8115750058705933
111,647,2.0453229787866576,2.8109042806687006
112,631,2.0492180226701815,2.8000293592441343
113,628,2.0530784434834195,2.797959643737196
114,625,2.0569048513364727,2.7958800173440754
115,614,2.060697840353612,2.788168371141168
116,611,2.0644579892269186,2.786041210242554
117,611,2.0681858617461617,2.786041210242554
118,609,2.0718820073061255,2.784617292632875
119,602,2.0755469613925306,2.7795964912578244
120,602,2.0791812460476247,2.7795964912578244
121,601,2.0827853703164503,2.7788744720027396
122,594,2.0863598306747484,2.7737864449811935
123,593,2.089905111439398,2.7730546933642626
124,592,2.093421685162235,2.77232170672292
125,579,2.0969100130080562,2.762678563727436
126,577,2.100370545117563,2.7611758131557314
127,565,2.103803720955957,2.7520484478194387
128,562,2.1072099696478683,2.749736315569061
129,556,2.110589710299249,2.7450747915820575
130,556,2.113943352306837,2.7450747915820575
131,543,2.1172712956557644,2.734799829588847
132,541,2.12057393120585,2.7331972651065692
133,536,2.123851640967086,2.72916478969277
134,534,2.1271047983648077,2.727541257028556
135,523,2.130333768495006,2.718501688867274
136,508,2.1335389083702174,2.7058637122839193
137,508,2.1367205671564067,2.7058637122839193
138,504,2.1398790864012365,2.7024305364455254
139,501,2.143014800254095,2.699837725867246
140,494,2.146128035678238,2.693726948923647
141,490,2.1492191126553797,2.690196080028514
142,479,2.1522883443830563,2.680335513414563
143,475,2.155336037465062,2.6766936096248664
144,471,2.1583624920952498,2.673020907128896
145,470,2.161368002234975,2.6720978579357175
146,469,2.164352855784437,2.6711728427150834
147,468,2.167317334748176,2.670245853074124
148,466,2.1702617153949575,2.66838591669
149,465,2.173186268412274,2.667452952889954
150,465,2.1760912590556813,2.667452952889954
151,453,2.1789769472931693,2.656098202012832
152,452,2.1818435879447726,2.655138434811382
153,452,2.184691430817599,2.655138434811382
154,448,2.187520720836463,2.651278013998144
155,445,2.1903316981702914,2.6483600109809315
156,444,2.1931245983544616,2.6473829701146196
157,443,2.1958996524092336,2.6464037262230695
158,443,2.1986570869544226,2.6464037262230695
159,443,2.2013971243204513,2.6464037262230695
160,441,2.2041199826559246,2.6444385894678386
161,441,2.2068258760318495,2.6444385894678386
162,439,2.2095150145426308,2.6424645202421213
163,437,2.2121876044039577,2.640481436970422
164,432,2.214843848047698,2.635483746814912
165,431,2.2174839442139063,2.6344772701607315
166,431,2.220108088040055,2.6344772701607315
167,430,2.2227164711475833,2.6334684555795866
168,425,2.225309281725863,2.6283889300503116
169,423,2.2278867046136734,2.6263403673750423
170,423,2.230448921378274,2.6263403673750423
171,423,2.2329961103921536,2.6263403673750423
172,415,2.2355284469075487,2.6180480967120925
173,415,2.2380461031287955,2.6180480967120925
174,414,2.2405492482826,2.617000341120899
175,413,2.2430380486862944,2.615950051656401
176,409,2.24551266781415,2.611723308007342
177,409,2.247973266361807,2.611723308007342
178,408,2.250420002308894,2.61066016308988
179,406,2.2528530309798933,2.6085260335771943
180,405,2.255272505103306,2.6074550232146687
181,405,2.2576785748691846,2.6074550232146687
182,403,2.2600713879850747,2.6053050461411096
183,399,2.2624510897304293,2.6009728956867484
184,399,2.2648178230095364,2.6009728956867484
185,398,2.2671717284030137,2.5998830720736876
186,397,2.2695129442179165,2.598790506763115
187,397,2.271841606536499,2.598790506763115
188,393,2.27415784926368,2.5943925503754266
189,391,2.2764618041732443,2.5921767573958667
190,388,2.278753600952829,2.5888317255942073
191,387,2.2810333672477277,2.5877109650189114
192,384,2.2833012287035497,2.584331224367531
193,382,2.285557309007774,2.582063362911709
194,379,2.287801729930226,2.578639209968072
195,379,2.290034611362518,2.578639209968072
196,378,2.292256071356476,2.5774917998372255
197,377,2.294466226161593,2.576341350205793
198,374,2.296665190261531,2.5728716022004803
199,373,2.298853076409707,2.571708831808688
200,371,2.3010299956639813,2.569373909615046
201,370,2.303196057420489,2.568201724066995
202,368,2.305351369446624,2.5658478186735176
203,367,2.307496037913213,2.5646660642520893
204,366,2.3096301674258988,2.5634810853944106
205,365,2.311753861055754,2.5622928644564746
206,365,2.3138672203691533,2.5622928644564746
207,364,2.315970345456918,2.561101383649056
208,363,2.3180633349627615,2.5599066250361124
209,363,2.3201462861110542,2.5599066250361124
210,361,2.322219294733919,2.5575072019056577
211,361,2.3242824552976926,2.5575072019056577
212,359,2.326335860928751,2.5550944485783194
213,354,2.3283796034387376,2.5490032620257876
214,351,2.330413773349191,2.545307116465824
215,351,2.3324384599156054,2.545307116465824
216,346,2.3344537511509307,2.5390760987927767
217,344,2.3364597338485296,2.53655844257153
218,338,2.3384564936046046,2.5289167002776547
219,338,2.3404441148401185,2.5289167002776547
220,337,2.342422680822206,2.5276299008713385
221,335,2.3443922736851106,2.525044807036845
222,330,2.346352974450639,2.5185139398778875
223,330,2.3483048630481607,2.5185139398778875
224,330,2.3502480183341627,2.5185139398778875
225,328,2.3521825181113627,2.515873843711679
226,328,2.3541084391474008,2.515873843711679
227,325,2.3560258571931225,2.5118833609788744
228,325,2.357934847000454,2.5118833609788744
229,323,2.359835482339888,2.509202522331103
230,321,2.361727836017593,2.506505032404872
231,319,2.3636119798921444,2.503790683057181
232,318,2.3654879848909,2.5024271199844326
233,318,2.367355921026019,2.5024271199844326
234,314,2.369215857410143,2.496929648073215
235,314,2.3710678622717363,2.496929648073215
236,313,2.3729120029701067,2.4955443375464483
237,313,2.374748346010104,2.4955443375464483
238,313,2.376576957056512,2.4955443375464483
239,312,2.3783979009481375,2.494154594018443
240,311,2.380211241711606,2.4927603890268375
241,310,2.3820170425748683,2.4913616938342726
242,305,2.383815365980431,2.484299839346786
243,302,2.385606273598312,2.4800069429571505
244,296,2.387389826338729,2.4712917110589387
245,294,2.3891660843645326,2.4683473304121573
246,294,2.3909351071033793,2.4683473304121573
247,293,2.392696953259666,2.4668676203541096
248,293,2.3944516808262164,2.4668676203541096
249,292,2.3961993470957363,2.4653828514484184
250,291,2.3979400086720375,2.4638929889859074
251,291,2.399673721481038,2.4638929889859074
252,290,2.401400540781544,2.462397997898956
253,287,2.403120521175818,2.4578818967339924
254,286,2.404833716619938,2.456366033129043
255,286,2.406540180433955,2.456366033129043
256,285,2.4082399653118496,2.45484486000851
257,282,2.4099331233312946,2.450249108319361
258,282,2.41161970596323,2.450249108319361
259,281,2.413299764081252,2.44870631990508
260,280,2.4149733479708178,2.4471580313422194
261,278,2.416640507338281,2.444044795918076
262,278,2.4183012913197452,2.444044795918076
263,277,2.419955748489758,2.4424797690644486
264,277,2.4216039268698313,2.4424797690644486
265,276,2.423245873936808,2.4409090820652177
266,273,2.424881636631067,2.436162647040756
267,273,2.4265112613645754,2.436162647040756
268,272,2.428134794028789,2.4345689040341987
269,272,2.429752280002408,2.4345689040341987
270,271,2.4313637641589874,2.432969290874406
271,270,2.432969290874406,2.4313637641589874
272,270,2.4345689040341987,2.4313637641589874
273,269,2.436162647040756,2.429752280002408
274,269,2.437750562820388,2.429752280002408
275,269,2.439332693830263,2.429752280002408
276,268,2.4409090820652177,2.428134794028789
277,268,2.4424797690644486,2.428134794028789
278,267,2.444044795918076,2.4265112613645754
279,267,2.4456042032735974,2.4265112613645754
280,266,2.4471580313422194,2.424881636631067
281,265,2.44870631990508,2.423245873936808
282,264,2.450249108319361,2.4216039268698313
283,264,2.45178643552429,2.4216039268698313
284,263,2.4533183400470375,2.419955748489758
285,263,2.45484486000851,2.419955748489758
286,262,2.456366033129043,2.4183012913197452
287,262,2.4578818967339924,2.4183012913197452
288,261,2.459392487759231,2.416640507338281
289,261,2.4608978427565478,2.416640507338281
290,261,2.462397997898956,2.416640507338281
291,260,2.4638929889859074,2.4149733479708178
292,259,2.4653828514484184,2.413299764081252
293,259,2.4668676203541096,2.413299764081252
294,258,2.4683473304121573,2.41161970596323
295,258,2.469822015978163,2.41161970596323
296,257,2.4712917110589387,2.4099331233312946
297,257,2.4727564493172123,2.4099331233312946
298,255,2.4742162640762553,2.406540180433955
299,255,2.4756711883244296,2.406540180433955
300,252,2.4771212547196626,2.401400540781544
301,251,2.4785664955938436,2.399673721481038
302,250,2.4800069429571505,2.3979400086720375
303,249,2.481442628502305,2.3961993470957363
304,246,2.482873583608754,2.3909351071033793
305,246,2.484299839346786,2.3909351071033793
306,245,2.48572142648158,2.3891660843645326
307,245,2.4871383754771865,2.3891660843645326
