1,the,13120
2,to,9225
3,and,7414
4,a,6922
5,of,5930
6,in,5002
7,Yahoo,3506
8,for,3100
9,I,2987
10,on,2914
11,is,2589
12,DFP,2567
13,that,2460
14,The,2281
15,or,2250
16,with,2115
17,you,1944
18,at,1632
19,this,1514
20,by,1513
21,1,1481
22,was,1454
23,it,1415
24,be,1341
25,as,1324
26,have,1270
27,from,1263
28,are,1258
29,out,1168
30,your,1158
31,like,1093
32,but,1006
33,more,978
34,store,942
35,not,909
36,an,872
37,he,822
38,can,811
39,has,807
40,his,805
41,You,777
42,they,756
43,0,738
44,will,736
45,all,713
46,Movies,703
47,about,701
48,my,667
49,her,652
50,their,643
51,than,633
52,any,631
53,New,622
54,More,589
55,up,566
56,first,564
57,who,557
58,2016,543
59,when,541
60,other,540
61,we,536
62,what,512
63,ad,511
64,do,510
65,been,499
66,so,498
67,one,495
68,no,491
69,A,490
70,new,484
71,This,483
72,would,483
73,In,482
74,Best,480
75,Now,480
76,she,476
77,me,465
78,just,464
79,2,462
80,How,461
81,if,460
82,Islands,452
83,Sports,450
84,had,443
85,get,441
86,Is,440
87,What,432
88,which,425
89,into,423
90,If,420
91,Sponsored,415
92,Beauty,402
93,With,401
94,only,400
95,right,398
96,Home,398
97,Music,394
98,after,390
99,Shopping,389
100,people,388
